Timestamp,Certainty in your guess,Outcome
4/27/2022 12:03:06,6,Guessed Right
4/27/2022 12:03:26,6,Guessed Wrong
4/27/2022 12:03:39,8,Guessed Wrong
4/27/2022 12:03:51,7,Guessed Wrong
4/27/2022 12:03:51,8,Guessed Right
4/27/2022 12:04:23,6,Guessed Wrong
4/27/2022 12:04:27,6,Guessed Wrong
4/27/2022 12:04:54,5,Guessed Wrong
4/27/2022 12:05:03,4,Guessed Right
4/27/2022 12:05:04,10,Guessed Right
4/27/2022 12:05:15,4,Guessed Right
4/27/2022 12:05:16,8,Guessed Right
4/27/2022 12:05:20,6,Guessed Wrong
4/27/2022 12:05:23,5,Guessed Right
4/27/2022 12:05:26,6,Guessed Wrong
4/27/2022 12:05:50,4,Guessed Wrong
4/27/2022 12:06:03,6,Guessed Wrong
4/27/2022 12:06:19,10,Guessed Right
4/27/2022 12:06:25,6,Guessed Wrong
4/27/2022 12:06:37,6,Guessed Right
4/27/2022 12:06:46,10,Guessed Wrong
4/27/2022 12:07:14,8,Guessed Wrong
4/27/2022 12:07:20,5,Guessed Right
4/27/2022 12:07:23,5,Guessed Wrong
4/27/2022 12:07:33,4,Guessed Right
4/27/2022 12:07:39,6,Guessed Wrong
4/27/2022 12:07:52,6,Guessed Wrong
4/27/2022 12:08:08,8,Guessed Right
4/27/2022 12:08:10,4,Guessed Wrong
4/27/2022 12:08:14,5,Guessed Wrong
4/27/2022 12:08:28,5,Guessed Right
4/27/2022 12:08:34,7,Guessed Wrong
4/27/2022 12:08:49,5,Guessed Wrong
4/27/2022 12:08:49,8,Guessed Wrong
4/27/2022 12:09:37,3,Guessed Right
4/27/2022 12:10:03,4,Guessed Wrong
4/27/2022 12:10:09,5,Guessed Right
4/27/2022 12:10:12,4,Guessed Right
4/27/2022 12:10:26,5,Guessed Wrong
4/27/2022 12:10:38,7,Guessed Wrong
4/27/2022 12:10:41,4,Guessed Right
4/27/2022 12:10:55,6,Guessed Wrong
4/27/2022 12:11:00,4,Guessed Right
4/27/2022 12:11:01,3,Guessed Wrong
4/27/2022 12:11:03,3,Guessed Right
4/27/2022 12:11:09,5,Guessed Right
4/27/2022 12:11:57,5,Guessed Right
4/27/2022 12:12:01,3,Guessed Right
4/27/2022 12:12:28,1,Guessed Right
4/27/2022 12:12:33,7,Guessed Right